index,Teamname,match_id,timestamp,minute,second,type.name,shot.end_location.x,GoalWidth,GoalHeight,shot.outcome.name,DistToGoal,goal
2306,Nigeria Women's,3893809,00:19:23.983,64,23,Shot,120,43.1,0.7,Goal,3.71618083521241,TRUE
2382,Nigeria Women's,3893809,00:26:45.407,71,45,Shot,120,38.8,0.5,Goal,12.7816274394147,TRUE
3054,Australia Women's,3893809,00:54:12.282,99,12,Shot,120,37.5,1.5,Goal,5.28015151297764,TRUE
201,Portugal Women's,3893810,00:06:09.998,6,9,Shot,120,41.6,1.7,Goal,7.47328575661335,TRUE
659,Portugal Women's,3893810,00:20:26.478,20,26,Shot,120,38,0.2,Goal,14.5206749154438,TRUE
244,England Women's,3893811,00:05:45.479,5,45,Shot,120,43.7,0.9,Goal,22.5144398109302,TRUE
1040,South Africa Women's,3893812,00:29:38.017,29,38,Shot,120,38.3,0,Goal,9.63171843442281,TRUE
2581,South Africa Women's,3893812,00:20:15.995,65,15,Shot,120,39.6,2.2,Goal,5.41294744108974,TRUE
2892,Argentina Women's,3893812,00:28:12.183,73,12,Shot,120,43.1,2,Goal,26.1047888327027,TRUE
3055,Argentina Women's,3893812,00:33:13.846,78,13,Shot,120,37.4,0.6,Goal,14.0811931312655,TRUE
2496,China PR Women's,3893813,00:28:33.319,73,33,Shot,120,36.9,0,Goal,11.9004201606498,TRUE
1534,Sweden Women's,3893814,00:38:32.867,38,32,Shot,120,39.1,1.2,Goal,3.74833296279826,TRUE
1721,Sweden Women's,3893814,00:43:42.134,43,42,Shot,120,38.5,1.2,Goal,4.38292140016222,TRUE
1786,Sweden Women's,3893814,00:45:40.325,45,40,Shot,120,40.2,1.8,Goal,4,TRUE
2066,Sweden Women's,3893814,00:04:20.335,49,20,Shot,120,43.3,2.2,Goal,3.80788655293195,TRUE
3689,Sweden Women's,3893814,00:49:49.461,94,49,Shot,120,37.7,0.2,Goal,17.2661518584773,TRUE
627,France Women's,3893815,00:16:48.845,16,48,Shot,120,37.3,0.8,Goal,6.58027355054484,TRUE
2100,Brazil Women's,3893815,00:12:31.912,57,31,Shot,120,43.7,1.3,Goal,9.34344690143846,TRUE
2900,France Women's,3893815,00:37:07.420,82,7,Shot,120,43.1,2,Goal,10.2449987798926,TRUE
1873,Jamaica Women's,3893816,00:10:17.819,55,17,Shot,120,43.6,0.9,Goal,7.02139587261679,TRUE
2156,Colombia Women's,3893818,00:06:53.238,51,53,Shot,120,43.6,2.3,Goal,15.608331108738,TRUE
3325,Germany Women's,3893818,00:43:44.542,88,44,Shot,120,40.2,0.2,Goal,12,TRUE
3581,Colombia Women's,3893818,00:51:23.612,96,23,Shot,120,43.5,0.8,Goal,9.80051019080129,TRUE
209,Morocco Women's,3893819,00:05:45.294,5,45,Shot,120,36.7,0.5,Goal,8.91403387922662,TRUE
189,Norway Women's,3893820,00:05:56.193,5,56,Shot,120,42.3,1.5,Goal,8.80227243386616,TRUE
505,Norway Women's,3893820,00:16:08.007,16,8,Shot,120,43,2,Goal,9.56033472217369,TRUE
1026,Norway Women's,3893820,00:30:40.559,30,40,Shot,120,37,0.7,Goal,30.3585243383139,TRUE
1914,Norway Women's,3893820,00:07:09.379,52,9,Shot,120,37.1,0.2,Goal,11.9004201606498,TRUE
3313,Norway Women's,3893820,00:49:41.744,94,41,Shot,120,37.6,1.3,Goal,10.9859000541603,TRUE
373,Australia Women's,3893821,00:08:46.956,8,46,Shot,120,38.5,0.5,Goal,16.8798696677433,TRUE
1347,Australia Women's,3893821,00:38:52.752,38,52,Shot,120,41.3,0.2,Goal,2.66270539113887,TRUE
2345,Australia Women's,3893821,00:12:02.183,57,2,Shot,120,44.1,0.3,Goal,5.50817574156816,TRUE
3285,Australia Women's,3893821,00:48:30.000,93,30,Shot,120,37.3,1.4,Goal,12,TRUE
584,Japan Women's,3893822,00:11:32.127,11,32,Shot,120,36.7,0.2,Goal,12.7906215642556,TRUE
1414,Japan Women's,3893822,00:28:08.882,28,8,Shot,120,37,2.2,Goal,18.1176709319934,TRUE
1947,Japan Women's,3893822,00:39:42.094,39,42,Shot,120,37,2,Goal,15.7543644746464,TRUE
4128,Japan Women's,3893822,00:36:48.748,81,48,Shot,120,36.6,2.3,Goal,15.4486245342425,TRUE
116,Zambia Women's,3893823,00:02:12.633,2,12,Shot,120,40.6,2.3,Goal,10.7042047812997,TRUE
1041,Zambia Women's,3893823,00:30:37.035,30,37,Shot,120,37.4,0.2,Goal,11.9004201606498,TRUE
1592,Costa Rica Women's,3893823,00:01:49.207,46,49,Shot,120,41.5,1.3,Goal,3.1304951684997,TRUE
2802,Zambia Women's,3893823,00:47:02.933,92,2,Shot,120,40.6,0.3,Goal,12.9849913361542,TRUE
787,Denmark Women's,3893825,00:21:01.014,21,1,Shot,120,37.4,0,Goal,11.9004201606498,TRUE
3195,Denmark Women's,3893825,00:54:07.537,99,7,Shot,120,36.9,0.3,Goal,19.1441897190766,TRUE
338,Netherlands Women's,3893827,00:07:28.001,7,28,Shot,120,39.9,1.3,Goal,13.708391590555,TRUE
439,Netherlands Women's,3893827,00:10:34.793,10,34,Shot,120,43.6,0.5,Goal,16.6048185777503,TRUE
681,Netherlands Women's,3893827,00:17:02.858,17,2,Shot,120,43,1.9,Goal,29.5,TRUE
925,Netherlands Women's,3893827,00:22:51.040,22,51,Shot,120,42.5,1,Goal,6.5924198895398,TRUE
1741,Netherlands Women's,3893827,00:44:32.453,44,32,Shot,120,43.1,2.2,Goal,5.56057550978314,TRUE
2429,Netherlands Women's,3893827,00:11:47.888,56,47,Shot,120,42.9,1.9,Goal,28.1902465402486,TRUE
3466,Netherlands Women's,3893827,00:37:44.686,82,44,Shot,120,41.3,0.5,Goal,5.57135531087365,TRUE
233,England Women's,3893828,00:03:54.559,3,54,Shot,120,37.2,0.2,Goal,16.4246765569371,TRUE
1195,England Women's,3893828,00:25:44.082,25,44,Shot,120,38.7,0.2,Goal,17.3303202509359,TRUE
1750,England Women's,3893828,00:40:31.564,40,31,Shot,120,37.4,1.2,Goal,20.4943894761469,TRUE
2407,China PR Women's,3893828,00:11:53.728,56,53,Shot,120,39.9,0.3,Goal,11.9004201606498,TRUE
2766,England Women's,3893828,00:20:00.940,65,0,Shot,120,42.3,2,Goal,13.6124942607885,TRUE
3151,England Women's,3893828,00:31:03.785,76,3,Shot,120,38.8,0.2,Goal,18.4252544080129,TRUE
3397,England Women's,3893828,00:38:07.040,83,7,Shot,120,37.5,2,Goal,7.28628849277875,TRUE
27,Panama Women's,3893829,00:01:07.516,1,7,Shot,120,36.3,2.2,Goal,34.0506974965271,TRUE
649,France Women's,3893829,00:20:02.185,20,2,Shot,120,41.9,2,Goal,9.53362470417207,TRUE
818,France Women's,3893829,00:27:14.450,27,14,Shot,120,43.1,2,Goal,7.50732975164938,TRUE
1056,France Women's,3893829,00:36:45.501,36,45,Shot,120,36.7,0.2,Goal,11.9004201606498,TRUE
1590,France Women's,3893829,00:49:18.772,49,18,Shot,120,43.5,1.8,Goal,39.8177096277523,TRUE
1737,France Women's,3893829,00:06:13.304,51,13,Shot,120,36.3,0.2,Goal,12,TRUE
2115,Panama Women's,3893829,00:18:49.623,63,49,Shot,120,36.7,0.9,Goal,11.9004201606498,TRUE
2692,Panama Women's,3893829,00:41:09.746,86,9,Shot,120,36.5,1.3,Goal,4.92544414240991,TRUE
3104,France Women's,3893829,00:54:08.432,99,8,Shot,120,40.7,0.7,Goal,10.8374351209131,TRUE
2241,Sweden Women's,3893830,00:20:52.027,65,52,Shot,120,39.6,0.7,Goal,5.40092584655632,TRUE
2959,Sweden Women's,3893830,00:44:54.652,89,54,Shot,120,36.7,1.1,Goal,12,TRUE
437,Italy Women's,3893831,00:10:54.894,10,54,Shot,120,37.2,0.2,Goal,11.9004201606498,TRUE
2282,South Africa Women's,3893831,00:21:26.379,66,26,Shot,120,42.1,0.9,Goal,14.2635900109334,TRUE
2470,Italy Women's,3893831,00:28:25.309,73,25,Shot,120,41.4,0.9,Goal,3.42052627529741,TRUE
