Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024
952,Eastern and South-Eastern Asia,,,1832,Bangladesh,50,100 205,134 781,168 623,69 443,333 762,297 382,306 499,318 236
953,Eastern and South-Eastern Asia,,,1832,Bhutan,64,276,322,383,456,525,244,109,113
954,Eastern and South-Eastern Asia,,,1832,India,356,126 849,161 884,217 961,398 484,500 319,617 488,666 254,730 710
955,Eastern and South-Eastern Asia,,,1832,Iran (Islamic Republic of),364,1 692,8 222,7 215,6 273,6 264,6 730,6 348,6 110
956,Eastern and South-Eastern Asia,,,1832,Nepal,524,13 949,18 093,23 893,224 420,299 778,595 644,657 925,749 730
957,Eastern and South-Eastern Asia,,,1832,Pakistan,586,16 601,21 515,27 067,39 850,58 696,106 971,119 282,126 603
958,Eastern and South-Eastern Asia,,,1832,Sri Lanka,144,5 847,11 176,19 030,25 039,34 136,46 730,59 939,72 462
959,Eastern and South-Eastern Asia,,,1832,South-Eastern Asia,920,1 674 110,2 404 619,3 649 260,4 842 556,6 698 401,8 069 984,9 619 529,10 665 751
960,Eastern and South-Eastern Asia,,,1832,Brunei Darussalam,96,5 023,6 778,8 533,10 288,12 051,13 798,15 510,16 887
961,Eastern and South-Eastern Asia,,,1832,Cambodia,116,27 965,31 961,62 843,177 679,310 473,362 851,414 306,444 951
962,Eastern and South-Eastern Asia,,,1832,Indonesia,360,512 886,824 315,1 155 526,1 441 218,2 023 921,2 240 127,2 397 076,2 581 736
963,Eastern and South-Eastern Asia,,,1832,Lao People's Democratic Republic,418,6 189,4 409,37 006,128 598,220 312,249 322,277 171,299 905
964,Eastern and South-Eastern Asia,,,1832,Malaysia,458,410 958,585 518,813 970,870 830,1 176 022,1 429 853,1 597 858,1 833 166
965,Eastern and South-Eastern Asia,,,1832,Myanmar,104,17 302,29 971,174 987,841 836,1 543 544,1 848 986,2 250 617,2 507 116
966,Eastern and South-Eastern Asia,,,1832,Philippines,608,407 614,495 165,632 577,651 417,708 804,846 747,954 715,974 129
967,Eastern and South-Eastern Asia,,,1832,Singapore,702,68 203,75 688,83 910,90 251,97 852,111 076,112 872,108 806
968,Eastern and South-Eastern Asia,,,1832,Thailand,764,106 942,213 223,330 362,304 068,267 756,368 473,475 183,506 393
969,Eastern and South-Eastern Asia,,,1832,Timor-Leste,626,26 838,33 706,184 250,30 324,33 385,52 987,84 310,95 603
970,Eastern and South-Eastern Asia,,,1832,Viet Nam,704,84 190,103 885,165 296,296 047,304 281,545 764,1 039 911,1 297 059
971,Eastern and South-Eastern Asia,,,1832,Western Asia,922,7 435,9 147,11 817,12 106,16 007,22 763,34 569,34 167
972,Eastern and South-Eastern Asia,,,1832,Azerbaijan,31,269,313,373,445,519,334,208,222
973,Eastern and South-Eastern Asia,,,1832,Iraq,368,677,822,1 484,1 214,2 401,2 621,2 475,1 692
974,Eastern and South-Eastern Asia,,,1832,Israel,376,374,442,526,627,739,651,552,602
975,Eastern and South-Eastern Asia,,,1832,Jordan,400,436,510,607,723,846,596,404,434
976,Eastern and South-Eastern Asia,,,1832,Saudi Arabia,682,2 973,3 691,4 562,3 613,4 025,5 418,8 083,9 153
977,Eastern and South-Eastern Asia,,,1832,State of Palestine,275,0..,0..,5,5,242,1 036,1 167,819
978,Eastern and South-Eastern Asia,,,1832,Syrian Arab Republic,760,403,499,622,788,1 022,2 518,5 317,5 357
979,Eastern and South-Eastern Asia,,,1832,Türkiye,792,1 316,1 695,2 239,3 026,4 188,6 017,8 448,7 805
980,Eastern and South-Eastern Asia,,,1832,Yemen,887,987,1 175,1 399,1 665,2 025,3 572,7 915,8 083
981,Eastern and South-Eastern Asia,,,1832,EUROPE,908,113 174,132 352,157 826,236 751,315 976,364 370,396 424,427 665
982,Eastern and South-Eastern Asia,,,1832,Eastern Europe,923,13 540,17 488,23 113,27 945,32 984,38 312,58 077,85 177
983,Eastern and South-Eastern Asia,,,1832,Belarus,112,367,438,522,621,752,1 131,1 626,1 913
984,Eastern and South-Eastern Asia,,,1832,Bulgaria,100,2,1,2,7,13,16,15,16
985,Eastern and South-Eastern Asia,,,1832,Czechia,203,7,6,7,10,15,18,18,19
986,Eastern and South-Eastern Asia,,,1832,Hungary,348,0..,0..,0..,4,9,11,10,11
987,Eastern and South-Eastern Asia,,,1832,Poland,616,734,1 017,1 277,1 500,1 757,2 571,2 602,2 567
988,Eastern and South-Eastern Asia,,,1832,Romania,642,2 831,2 830,2 765,2 656,2 599,2 678,2 562,2 212
989,Eastern and South-Eastern Asia,,,1832,Russian Federation,643,8 296,11 586,16 576,20 774,24 917,27 797,45 695,64 605
990,Eastern and South-Eastern Asia,,,1832,Slovakia,703,4,4,5,3,3,3,2,2
991,Eastern and South-Eastern Asia,,,1832,Ukraine*,804,1 299,1 606,1 959,2 370,2 919,4 087,5 547,13 832
992,Eastern and South-Eastern Asia,,,1832,Northern Europe,924,53 182,60 338,70 264,112 681,154 385,174 707,183 730,190 302
993,Eastern and South-Eastern Asia,,,1832,Denmark*,208,1 330,1 598,1 779,2 030,2 243,2 217,1 921,1 774
994,Eastern and South-Eastern Asia,,,1832,Finland*,246,702,820,975,1 143,1 323,862,539,577
995,Eastern and South-Eastern Asia,,,1832,Ireland,372,1 565,1 920,2 204,2 501,2 687,3 158,3 326,3 153
996,Eastern and South-Eastern Asia,,,1832,Norway*,578,429,502,597,711,832,567,372,398
997,Eastern and South-Eastern Asia,,,1832,Sweden,752,1 864,2 330,2 929,3 268,4 070,5 494,4 043,3 247
998,Eastern and South-Eastern Asia,,,1832,United Kingdom*,826,47 292,53 168,61 780,103 028,143 230,162 409,173 529,181 153
999,Eastern and South-Eastern Asia,,,1832,Southern Europe,925,11 158,13 124,12 661,14 986,17 523,25 250,25 884,22 538
1000,Eastern and South-Eastern Asia,,,1832,Italy,380,4 395,5 338,6 408,7 714,9 327,14 268,13 616,11 178
1001,Eastern and South-Eastern Asia,,,1832,North Macedonia,807,12,13,15,8,3,3,2,2
1002,Eastern and South-Eastern Asia,,,1832,Portugal,620,3 825,4 197,2 001,2 288,2 263,2 409,2 762,2 903
1003,Eastern and South-Eastern Asia,,,1832,Serbia*,688,64,76,90,109,133,303,664,771
1004,Eastern and South-Eastern Asia,,,1832,Spain*,724,2 862,3 500,4 147,4 867,5 797,8 267,8 840,7 684
1005,Eastern and South-Eastern Asia,,,1832,Western Europe,926,35 294,41 402,51 788,81 139,111 084,126 101,128 733,129 648
1006,Eastern and South-Eastern Asia,,,1832,Austria,40,520,615,733,876,1 043,1 013,943,1 038
1007,Eastern and South-Eastern Asia,,,1832,Belgium,56,1 226,1 415,1 696,2 031,2 305,2 662,2 725,2 445
1008,Eastern and South-Eastern Asia,,,1832,France*,250,13 546,16 003,20 564,34 511,48 941,56 768,59 353,59 754
1009,Eastern and South-Eastern Asia,,,1832,Germany,276,14 382,17 040,21 681,35 679,49 744,54 904,55 614,57 376
1010,Eastern and South-Eastern Asia,,,1832,Netherlands*,528,3 492,4 040,4 655,5 297,5 921,6 723,6 568,6 158
1011,Eastern and South-Eastern Asia,,,1832,Switzerland,756,2 128,2 289,2 459,2 745,3 130,4 031,3 530,2 877
1012,Eastern and South-Eastern Asia,,,1832,LATIN AMERICA AND THE CARIBBEAN,904,68 314,212 496,313 803,375 501,328 228,259 972,305 900,303 158
1013,Eastern and South-Eastern Asia,,,1832,Caribbean,915,317,369,431,500,583,717,1 045,1 186
1014,Eastern and South-Eastern Asia,,,1832,Cuba,192,256,296,344,397,458,463,549,614
1015,Eastern and South-Eastern Asia,,,1832,Jamaica,388,61,73,87,103,125,254,496,572
1016,Eastern and South-Eastern Asia,,,1832,Central America,916,1 797,2 438,3 181,3 565,4 068,5 370,6 329,5 893
1017,Eastern and South-Eastern Asia,,,1832,Mexico,484,1 351,1 911,2 554,2 818,3 183,4 551,5 600,5 093
1018,Eastern and South-Eastern Asia,,,1832,Panama,591,446,527,627,747,885,819,729,800
1019,Eastern and South-Eastern Asia,,,1832,South America,931,66 200,209 689,310 191,371 436,323 577,253 885,298 526,296 079
1020,Eastern and South-Eastern Asia,,,1832,Argentina,32,3 187,3 915,4 273,5 176,5 060,6 481,9 921,10 831
1021,Eastern and South-Eastern Asia,,,1832,Bolivia (Plurinational State of),68,3 436,3 822,4 199,4 568,5 022,5 417,6 154,6 454
1022,Eastern and South-Eastern Asia,,,1832,Brazil,76,46 207,163 082,249 710,297 926,249 243,182 594,218 949,215 041
1023,Eastern and South-Eastern Asia,,,1832,Chile,152,434,541,668,822,1 023,1 381,1 888,2 107
1024,Eastern and South-Eastern Asia,,,1832,Colombia,170,2 150,2 375,2 593,2 807,3 082,3 294,3 586,3 606
1025,Eastern and South-Eastern Asia,,,1832,Ecuador,218,133,160,191,227,274,449,708,807
1026,Eastern and South-Eastern Asia,,,1832,Paraguay,600,1 278,1 411,1 537,1 657,1 806,1 882,2 180,2 201
1027,Eastern and South-Eastern Asia,,,1832,Peru,604,8 391,33 205,45 619,56 591,56 054,49 099,49 972,49 146
1028,Eastern and South-Eastern Asia,,,1832,Uruguay,858,7,6,7,3,1,1,0..,0..
1029,Eastern and South-Eastern Asia,,,1832,Venezuela (Bolivarian Republic of),862,977,1 172,1 394,1 659,2 012,3 287,5 168,5 886
1030,Eastern and South-Eastern Asia,,,1832,NORTHERN AMERICA,905,148 086,181 387,217 753,259 789,327 718,369 375,375 829,347 206
1031,Eastern and South-Eastern Asia,,,1832,Canada,124,23 878,32 323,41 673,47 786,49 092,56 479,58 672,56 749
1032,Eastern and South-Eastern Asia,,,1832,United States of America*,840,124 208,149 064,176 080,212 003,278 626,312 896,317 157,290 457
1033,Eastern and South-Eastern Asia,,,1832,OCEANIA,909,37 699,46 644,57 553,61 932,67 678,95 555,91 659,75 984
1034,Eastern and South-Eastern Asia,,,1832,Australia/New Zealand,927,37 699,46 644,57 553,61 932,67 678,95 555,91 659,75 984
1035,Eastern and South-Eastern Asia,,,1832,Australia*,36,31 490,38 784,47 570,50 581,55 445,80 584,76 159,61 688
1036,Eastern and South-Eastern Asia,,,1832,New Zealand*,554,6 209,7 860,9 983,11 351,12 233,14 971,15 500,14 296
1037,Eastern and South-Eastern Asia,,,1832,Others,2003,558 936,682 032,1 138 474,1 036 717,1 007 653,1 176 946,1 219 608,1 199 309
1038,Latin America and the Caribbean,,,1830,World,900,7 253 323,6 728 705,6 589 509,7 111 817,8 275 866,9 109 959,14 287 765,17 510 527
1039,Latin America and the Caribbean,,,1830,Sub-Saharan Africa,1834,11 679,20 148,20 480,22 494,23 536,35 167,57 980,49 825
1040,Latin America and the Caribbean,,,1830,Northern Africa and Western Asia,1833,84 892,82 090,76 438,73 389,71 120,75 945,83 730,89 832
1041,Latin America and the Caribbean,,,1830,Central and Southern Asia,1831,9 673,11 162,12 555,14 110,18 221,23 759,35 256,45 620
1042,Latin America and the Caribbean,,,1830,Eastern and South-Eastern Asia,1832,205 294,205 241,203 930,206 941,219 694,236 323,259 909,311 493
1043,Latin America and the Caribbean,,,1830,Latin America and the Caribbean,1830,3 700 702,3 674 872,3 787 986,4 267 969,5 351 426,5 968 907,10 977 915,14 032 392
1044,Latin America and the Caribbean,,,1830,Oceania (excluding Australia and New Zealand),1835,438,637,682,355,200,192,298,327
1045,Latin America and the Caribbean,,,1830,Australia/New Zealand,1836,5 506,5 870,5 872,6 103,6 400,6 706,7 015,8 090
1046,Latin America and the Caribbean,,,1830,Europe and Northern America,1829,2 489 947,2 324 777,2 238 405,2 255 287,2 368 879,2 305 721,2 289 264,2 457 612
1047,Latin America and the Caribbean,,,1830,More developed regions,901,2 603 426,2 427 235,2 332 319,2 338 747,2 440 843,2 369 599,2 346 138,2 544 355
1048,Latin America and the Caribbean,,,1830,Less developed regions,902,3 904 705,3 897 562,4 014 029,4 507 901,5 618 633,6 283 121,11 365 229,14 450 836
1049,Latin America and the Caribbean,,,1830,Least developed countries,941,244 305,274 396,302 983,353 577,415 269,621 572,873 064,1 041 951
1050,Latin America and the Caribbean,,,1830,"Less developed regions, excluding least developed countries",934,3 660 400,3 623 166,3 711 046,4 154 324,5 203 364,5 661 549,10 492 165,13 408 885
1051,Latin America and the Caribbean,,,1830,"Less developed regions, excluding China",948,3 846 513,3 828 123,3 934 873,4 417 729,5 508 007,6 151 675,11 208 347,14 284 075
1052,Latin America and the Caribbean,,,1830,Land-locked Developing Countries (LLDC),1636,505 277,557 494,618 506,771 865,1 008 826,1 062 605,1 140 124,1 172 363
1053,Latin America and the Caribbean,,,1830,Small Island Developing States (SIDS),1637,608 869,672 005,738 082,803 698,894 789,1 115 766,1 424 014,1 683 502
1054,Latin America and the Caribbean,,,1830,High-and-upper-middle-income countries,5503,5 574 907,5 356 633,5 278 252,5 612 434,6 613 518,6 819 231,7 193 566,7 689 442
1055,Latin America and the Caribbean,,,1830,Low-and-Lower-middle-income countries,5504,833 608,861 742,956 821,1 120 763,1 314 969,1 603 856,2 084 753,2 477 992
1056,Latin America and the Caribbean,,,1830,High-income countries,1503,3 165 421,3 010 650,2 936 632,2 940 578,3 054 187,2 973 308,2 947 202,3 165 821
1057,Latin America and the Caribbean,,,1830,Low-and-middle-income countries,1859,3 243 094,3 207 725,3 298 441,3 792 619,4 874 300,5 449 779,6 331 117,7 001 613
1058,Latin America and the Caribbean,,,1830,Middle-income countries,1517,3 210 330,3 176 399,3 269 122,3 763 051,4 843 818,5 413 142,6 282 539,6 950 254
1059,Latin America and the Caribbean,,,1830,Upper-middle-income countries,1502,2 409 486,2 345 983,2 341 620,2 671 856,3 559 331,3 845 923,4 246 364,4 523 621
1060,Latin America and the Caribbean,,,1830,Lower-middle-income countries,1501,800 844,830 416,927 502,1 091 195,1 284 487,1 567 219,2 036 175,2 426 633
1061,Latin America and the Caribbean,,,1830,Low-income countries,1500,32 764,31 326,29 319,29 568,30 482,36 637,48 578,51 359
1062,Latin America and the Caribbean,,,1830,No income group available,1518,92 136,98 074,102 058,104 973,121 467,219 152,4 422 235,6 816 613
1063,Latin America and the Caribbean,,,1830,AFRICA,903,19 964,28 428,28 050,30 198,31 216,43 713,68 346,61 522
1064,Latin America and the Caribbean,,,1830,Eastern Africa,910,2 579,2 778,3 065,3 284,3 456,4 106,5 241,5 006
1065,Latin America and the Caribbean,,,1830,Burundi,108,21,28,35,49,70,113,258,284
1066,Latin America and the Caribbean,,,1830,Eritrea,232,25,25,25,26,27,28,25,24
1067,Latin America and the Caribbean,,,1830,Ethiopia,231,88,120,184,223,252,298,412,437
1068,Latin America and the Caribbean,,,1830,Kenya,404,22,36,57,62,74,80,84,93
1069,Latin America and the Caribbean,,,1830,Madagascar,450,4,6,7,7,8,9,8,10
1070,Latin America and the Caribbean,,,1830,Malawi,454,0..,3,5,6,6,8,7,8
1071,Latin America and the Caribbean,,,1830,Mozambique,508,1 351,1 350,1 377,1 468,1 504,1 651,1 872,1 990
1072,Latin America and the Caribbean,,,1830,Réunion,638,862,984,1 106,1 121,1 134,1 184,1 219,1 253
1073,Latin America and the Caribbean,,,1830,Rwanda,646,3,3,2,3,3,3,2,2
1074,Latin America and the Caribbean,,,1830,Somalia,706,18,26,37,57,85,313,663,239
1075,Latin America and the Caribbean,,,1830,Uganda,800,10,7,7,12,21,21,22,25
1076,Latin America and the Caribbean,,,1830,United Republic of Tanzania,834,150,151,165,190,208,333,607,576
1077,Latin America and the Caribbean,,,1830,Zambia,894,2,8,14,13,12,12,12,13
1078,Latin America and the Caribbean,,,1830,Zimbabwe,716,23,31,44,47,52,53,50,52
1079,Latin America and the Caribbean,,,1830,Middle Africa,911,6 762,8 208,8 798,9 574,9 676,11 445,20 720,23 120
1080,Latin America and the Caribbean,,,1830,Angola,24,6 193,7 525,8 063,8 623,8 294,8 504,13 251,17 831
1081,Latin America and the Caribbean,,,1830,Cameroon,120,227,220,219,251,299,521,1 699,1 737
1082,Latin America and the Caribbean,,,1830,Central African Republic,140,11,11,11,100,191,206,217,237
1083,Latin America and the Caribbean,,,1830,Chad,148,9,8,5,5,4,3,3,3
1084,Latin America and the Caribbean,,,1830,Congo,178,136,127,142,125,126,178,373,507
1085,Latin America and the Caribbean,,,1830,Democratic Republic of the Congo,180,181,314,357,468,760,2 032,5 176,2 804
1086,Latin America and the Caribbean,,,1830,Gabon,266,5,3,1,2,2,1,1,1
1087,Latin America and the Caribbean,,,1830,Northern Africa,912,8 285,8 280,7 570,7 704,7 680,8 546,10 366,11 697
1088,Latin America and the Caribbean,,,1830,Algeria,12,772,980,986,1 041,1 062,1 405,1 526,1 611
1089,Latin America and the Caribbean,,,1830,Egypt,818,5 208,4 583,4 129,4 068,3 911,4 009,4 355,4 884
1090,Latin America and the Caribbean,,,1830,Libya,434,166,171,183,200,242,292,429,474
1091,Latin America and the Caribbean,,,1830,Morocco,504,1 990,2 384,2 105,2 193,2 229,2 470,3 241,3 785
1092,Latin America and the Caribbean,,,1830,Sudan,729,1,16,17,32,46,89,215,82
1093,Latin America and the Caribbean,,,1830,Tunisia,788,148,146,150,170,190,281,600,861
1094,Latin America and the Caribbean,,,1830,Southern Africa,913,1 051,3 078,2 880,3 017,2 972,3 515,4 070,4 095
1095,Latin America and the Caribbean,,,1830,Botswana,72,0..,0..,0..,7,13,14,13,14
1096,Latin America and the Caribbean,,,1830,Eswatini,748,1,1,1,8,13,13,12,13
1097,Latin America and the Caribbean,,,1830,Lesotho,426,6,4,1,1,0..,0..,0..,0..
1098,Latin America and the Caribbean,,,1830,South Africa,710,1 044,3 073,2 878,3 001,2 946,3 488,4 045,4 068
1099,Latin America and the Caribbean,,,1830,Western Africa,914,1 287,6 084,5 737,6 619,7 432,16 101,27 949,17 604
1100,Latin America and the Caribbean,,,1830,Benin,204,36,34,31,32,29,110,303,138
1101,Latin America and the Caribbean,,,1830,Burkina Faso,854,34,32,29,28,25,88,337,396
1102,Latin America and the Caribbean,,,1830,Cabo Verde,132,13,1 464,1 199,1 351,1 317,1 531,1 861,1 845
1103,Latin America and the Caribbean,,,1830,Côte d'Ivoire,384,11,409,333,374,350,437,615,509
1104,Latin America and the Caribbean,,,1830,Gambia,270,0..,0..,0..,0..,0..,147,364,78
1105,Latin America and the Caribbean,,,1830,Ghana,288,174,205,227,221,219,1 133,2 901,1 460
1106,Latin America and the Caribbean,,,1830,Guinea,324,92,86,78,84,96,364,1 201,941
1107,Latin America and the Caribbean,,,1830,Guinea-Bissau,624,5,1 145,948,1 041,941,1 352,2 753,1 521
1108,Latin America and the Caribbean,,,1830,Liberia,430,48,226,297,327,296,305,333,48
1109,Latin America and the Caribbean,,,1830,Mali,466,0..,0..,0..,1,6,256,519,455
1110,Latin America and the Caribbean,,,1830,Mauritania,478,0..,0..,0..,6,1,8,302,442
1111,Latin America and the Caribbean,,,1830,Niger,562,9,17,29,27,28,29,32,35
1112,Latin America and the Caribbean,,,1830,Nigeria,566,590,1 978,1 839,2 117,2 674,4 524,6 666,4 921
1113,Latin America and the Caribbean,,,1830,Saint Helena,654,125,137,248,257,388,420,502,587
1114,Latin America and the Caribbean,,,1830,Senegal,686,149,349,369,602,922,4 958,8 040,3 815
1115,Latin America and the Caribbean,,,1830,Sierra Leone,694,0..,0..,108,149,139,269,532,102
1116,Latin America and the Caribbean,,,1830,Togo,768,1,2,2,2,1,170,688,311
1117,Latin America and the Caribbean,,,1830,ASIA,935,291 574,290 213,285 353,286 736,301 355,327 481,368 529,435 248
1118,Latin America and the Caribbean,,,1830,Central Asia,5500,46,64,83,126,186,286,590,652
1119,Latin America and the Caribbean,,,1830,Kazakhstan,398,8,9,10,22,37,39,41,46
1120,Latin America and the Caribbean,,,1830,Kyrgyzstan,417,0..,0..,0..,2,4,6,5,6
1121,Latin America and the Caribbean,,,1830,Tajikistan,762,0..,2,3,2,1,2,1,1
1122,Latin America and the Caribbean,,,1830,Turkmenistan,795,0..,1,1,1,0..,0..,0..,0..
